Date,Close,Open,High,Low
14/03/2018,1.2367,1.239,1.2414,1.2347
15/03/2018,1.2305,1.2366,1.2385,1.2299
16/03/2018,1.2289,1.2305,1.2338,1.2261
19/03/2018,1.2335,1.2284,1.2361,1.2258
20/03/2018,1.2242,1.2335,1.2356,1.2239
21/03/2018,1.2338,1.2242,1.2351,1.2241
22/03/2018,1.2302,1.2337,1.2389,1.2285
23/03/2018,1.2353,1.2302,1.2375,1.2301
26/03/2018,1.2443,1.2348,1.2463,1.2341
27/03/2018,1.2403,1.2444,1.2478,1.2373
28/03/2018,1.2308,1.2403,1.2424,1.23
29/03/2018,1.2302,1.2308,1.2335,1.2282
30/03/2018,1.2323,1.2301,1.2331,1.2293
2/4/2018,1.2302,1.2323,1.2346,1.2282
3/4/2018,1.227,1.2304,1.2336,1.2253
4/4/2018,1.2278,1.2269,1.2315,1.2256
5/4/2018,1.224,1.2278,1.2292,1.2218
6/4/2018,1.2283,1.224,1.2292,1.2214
9/4/2018,1.2321,1.2279,1.2331,1.2261
10/4/2018,1.2356,1.232,1.2379,1.2303
11/4/2018,1.2367,1.2357,1.2397,1.2347
12/4/2018,1.2327,1.2368,1.2382,1.23
13/04/2018,1.2331,1.2327,1.2348,1.2307
16/04/2018,1.238,1.233,1.2395,1.2325
17/04/2018,1.237,1.2378,1.2413,1.2335
18/04/2018,1.2373,1.2369,1.2398,1.2343
19/04/2018,1.2346,1.2373,1.2402,1.2329
20/04/2018,1.2288,1.2346,1.2354,1.225
23/04/2018,1.2209,1.2289,1.2292,1.2198
24/04/2018,1.2232,1.2209,1.2247,1.2182
25/04/2018,1.2161,1.2232,1.224,1.216
26/04/2018,1.2103,1.2161,1.2211,1.2096
27/04/2018,1.213,1.2105,1.2135,1.2055
30/04/2018,1.2079,1.2125,1.2141,1.2064
1/5/2018,1.1993,1.2076,1.2086,1.1981
2/5/2018,1.1951,1.1992,1.2033,1.1938
3/5/2018,1.1988,1.1951,1.2009,1.1946
4/5/2018,1.196,1.1989,1.1997,1.1911
7/5/2018,1.1922,1.1953,1.198,1.1898
8/5/2018,1.1864,1.1924,1.1941,1.1838
9/5/2018,1.185,1.1863,1.1898,1.1822
10/5/2018,1.1915,1.1852,1.1948,1.1843
11/5/2018,1.1944,1.1917,1.197,1.1891
14/05/2018,1.1927,1.1947,1.1998,1.1926
15/05/2018,1.1838,1.1925,1.1939,1.1817
16/05/2018,1.1807,1.1837,1.1854,1.1762
17/05/2018,1.1795,1.1808,1.1839,1.1775
18/05/2018,1.1778,1.1796,1.1825,1.1749
21/05/2018,1.1791,1.1764,1.1797,1.1717
22/05/2018,1.1779,1.1792,1.183,1.1754
23/05/2018,1.1697,1.1778,1.179,1.1675
24/05/2018,1.172,1.1695,1.175,1.1688
25/05/2018,1.1652,1.172,1.1735,1.1645
28/05/2018,1.1623,1.1651,1.1729,1.1605
29/05/2018,1.154,1.1625,1.1641,1.1508
30/05/2018,1.1663,1.154,1.1678,1.1518
31/05/2018,1.1692,1.1665,1.1726,1.1641
1/6/2018,1.1661,1.1691,1.1718,1.1617
4/6/2018,1.1699,1.1656,1.1744,1.1652
5/6/2018,1.1718,1.1698,1.1733,1.1652
6/6/2018,1.1773,1.1717,1.1797,1.1708
7/6/2018,1.1799,1.1774,1.1842,1.1772
8/6/2018,1.1768,1.18,1.1812,1.1726
11/6/2018,1.1784,1.1766,1.1822,1.1754
12/6/2018,1.1745,1.1784,1.1811,1.1733
13/06/2018,1.1791,1.1745,1.1803,1.1725
14/06/2018,1.1569,1.1791,1.1853,1.1562
15/06/2018,1.1609,1.1568,1.1629,1.1543
18/06/2018,1.1623,1.1609,1.1625,1.1563
19/06/2018,1.159,1.1624,1.1646,1.153
20/06/2018,1.1572,1.159,1.1602,1.1537
21/06/2018,1.1603,1.1572,1.1635,1.1509
22/06/2018,1.1657,1.1604,1.1677,1.16
25/06/2018,1.1704,1.1659,1.1715,1.1627
26/06/2018,1.1647,1.1704,1.1722,1.1635
27/06/2018,1.1554,1.1647,1.1674,1.1541
28/06/2018,1.1569,1.1555,1.1602,1.1527
29/06/2018,1.1685,1.1569,1.1692,1.1558
2/7/2018,1.1641,1.1651,1.1699,1.159
3/7/2018,1.1657,1.1641,1.1675,1.1621
4/7/2018,1.1656,1.1658,1.1684,1.1629
5/7/2018,1.1691,1.1655,1.1722,1.1649
6/7/2018,1.1747,1.169,1.1769,1.1679
9/7/2018,1.1751,1.1748,1.1792,1.1731
10/7/2018,1.1744,1.1751,1.1764,1.169
11/7/2018,1.1674,1.1745,1.176,1.1665
12/7/2018,1.1672,1.1674,1.1697,1.1648
13/07/2018,1.1685,1.1669,1.1688,1.161
16/07/2018,1.171,1.1676,1.1726,1.1674
17/07/2018,1.1661,1.1711,1.1746,1.165
18/07/2018,1.1639,1.166,1.1665,1.1601
19/07/2018,1.1643,1.1639,1.168,1.1574
20/07/2018,1.172,1.1644,1.174,1.1626
23/07/2018,1.1692,1.173,1.1752,1.1682
24/07/2018,1.1686,1.1692,1.1719,1.1654
25/07/2018,1.1728,1.1684,1.1739,1.1663
26/07/2018,1.1643,1.1728,1.1744,1.1639
27/07/2018,1.1658,1.1643,1.1665,1.1621
30/07/2018,1.1706,1.166,1.1721,1.1648
31/07/2018,1.1691,1.1706,1.1745,1.1682
1/8/2018,1.166,1.1691,1.1701,1.1656
2/8/2018,1.1584,1.166,1.1669,1.1582
3/8/2018,1.1567,1.1583,1.1611,1.1559
6/8/2018,1.1554,1.1571,1.1574,1.1527
7/8/2018,1.1599,1.1555,1.161,1.1547
8/8/2018,1.1611,1.1598,1.1629,1.1571
9/8/2018,1.1527,1.1609,1.162,1.1525
10/8/2018,1.1411,1.1526,1.1537,1.1384
13/08/2018,1.1409,1.1389,1.1434,1.1364
